District,crop_name,crop_type,Area,Production
ARARIA,Aonla/Gooseberry,fruits,,200
ARWAL,Aonla/Gooseberry,fruits,,200
AURANGABAD,Aonla/Gooseberry,fruits,100,600
BANKA,Aonla/Gooseberry,fruits,,200
BEGUSARAI,Aonla/Gooseberry,fruits,100,700
BHAGALPUR,Aonla/Gooseberry,fruits,,400
BHOJPUR,Aonla/Gooseberry,fruits,,300
BUXAR,Aonla/Gooseberry,fruits,,300
DARBHANGA,Aonla/Gooseberry,fruits,,300
GAYA,Aonla/Gooseberry,fruits,110,110
GOPALGANJ,Aonla/Gooseberry,fruits,,300
JAMUI,Aonla/Gooseberry,fruits,,200
JEHANABAD,Aonla/Gooseberry,fruits,,200
KAIMUR (BHABUA),Aonla/Gooseberry,fruits,,500
KATIHAR,Aonla/Gooseberry,fruits,,500
KHAGARIA,Aonla/Gooseberry,fruits,,200
KISHANGANJ,Aonla/Gooseberry,fruits,,300
LAKHISARAI,Aonla/Gooseberry,fruits,,100
MADHEPURA,Aonla/Gooseberry,fruits,,300
MADHUBANI,Aonla/Gooseberry,fruits,,300
MUNGER,Aonla/Gooseberry,fruits,,200
MUZAFFARPUR,Aonla/Gooseberry,fruits,100,800
NALANDA,Aonla/Gooseberry,fruits,,400
NAWADA,Aonla/Gooseberry,fruits,,200
PASHCHIM CHAMPARAN,Aonla/Gooseberry,fruits,100,600
PATNA,Aonla/Gooseberry,fruits,,300
PURBI CHAMPARAN,Aonla/Gooseberry,fruits,,500
PURNIA,Aonla/Gooseberry,fruits,100,600
ROHTAS,Aonla/Gooseberry,fruits,100,900
SAHARSA,Aonla/Gooseberry,fruits,,400
SAMASTIPUR,Aonla/Gooseberry,fruits,100,900
SARAN,Aonla/Gooseberry,fruits,,300
SHEIKHPURA,Aonla/Gooseberry,fruits,,100
SHEOHAR,Aonla/Gooseberry,fruits,,200
SITAMARHI,Aonla/Gooseberry,fruits,,400
SIWAN,Aonla/Gooseberry,fruits,,300
SUPAUL,Aonla/Gooseberry,fruits,,100
VAISHALI,Aonla/Gooseberry,fruits,100,800
ARARIA,Banana,fruits,500,18700
ARWAL,Banana,fruits,150,9150
AURANGABAD,Banana,fruits,410,1605
BANKA,Banana,fruits,410,15067.5
BEGUSARAI,Banana,fruits,1010,45854
BHAGALPUR,Banana,fruits,1350,54623.08
BHOJPUR,Banana,fruits,500,19000
BUXAR,Banana,fruits,210,11025
DARBHANGA,Banana,fruits,1325,72263.47
GAYA,Banana,fruits,300,12900
GOPALGANJ,Banana,fruits,800,32000
JAMUI,Banana,fruits,203,9744
JEHANABAD,Banana,fruits,205,8302.5
KAIMUR (BHABUA),Banana,fruits,208,11544
KATIHAR,Banana,fruits,1506,40862.8
KHAGARIA,Banana,fruits,1110,46115.45
KISHANGANJ,Banana,fruits,708,31860
LAKHISARAI,Banana,fruits,204,6630
MADHEPURA,Banana,fruits,1420,69377.14
MADHUBANI,Banana,fruits,1000,49272.72
MUNGER,Banana,fruits,320,16960
MUZAFFARPUR,Banana,fruits,5280,271471.69
NALANDA,Banana,fruits,600,25000
NAWADA,Banana,fruits,410,12300
PASHCHIM CHAMPARAN,Banana,fruits,1100,51000
PATNA,Banana,fruits,650,28135.71
PURBI CHAMPARAN,Banana,fruits,1200,52472.72
PURNIA,Banana,fruits,1200,44769.23
ROHTAS,Banana,fruits,322,15241.34
SAHARSA,Banana,fruits,1211,51972.09
SAMASTIPUR,Banana,fruits,2310,102945.65
SARAN,Banana,fruits,911,38869.34
SHEIKHPURA,Banana,fruits,105,6510
SHEOHAR,Banana,fruits,304,12160
SITAMARHI,Banana,fruits,710,30834.28
SIWAN,Banana,fruits,802,35189
SUPAUL,Banana,fruits,701,24034.28
VAISHALI,Banana,fruits,3402,142083.53
ARARIA,Guava,fruits,200,1200
ARWAL,Guava,fruits,200,1800
AURANGABAD,Guava,fruits,710,4865.83
BANKA,Guava,fruits,300,2500
BEGUSARAI,Guava,fruits,500,4600
BHAGALPUR,Guava,fruits,711,5808.17
BHOJPUR,Guava,fruits,1925,16500
BUXAR,Guava,fruits,1600,12500
DARBHANGA,Guava,fruits,600,4900
GAYA,Guava,fruits,700,5500
GOPALGANJ,Guava,fruits,600,5000
JAMUI,Guava,fruits,200,1700
JEHANABAD,Guava,fruits,300,2100
KAIMUR (BHABUA),Guava,fruits,1400,10600
KATIHAR,Guava,fruits,500,3700
KHAGARIA,Guava,fruits,400,3000
KISHANGANJ,Guava,fruits,200,1900
LAKHISARAI,Guava,fruits,100,1100
MADHEPURA,Guava,fruits,700,5000
MADHUBANI,Guava,fruits,500,4100
MUNGER,Guava,fruits,300,2300
MUZAFFARPUR,Guava,fruits,1500,11800
NALANDA,Guava,fruits,1500,146200
NAWADA,Guava,fruits,500,3900
PASHCHIM CHAMPARAN,Guava,fruits,1600,13800
PATNA,Guava,fruits,1100,9000
PURBI CHAMPARAN,Guava,fruits,1700,14000
PURNIA,Guava,fruits,400,3200
ROHTAS,Guava,fruits,3312,27098.18
SAHARSA,Guava,fruits,712,5390.85
SAMASTIPUR,Guava,fruits,701,5307.57
SARAN,Guava,fruits,-,-
SHEIKHPURA,Guava,fruits,109,1199
SHEOHAR,Guava,fruits,301,2608.67
SITAMARHI,Guava,fruits,699,6191.14
SIWAN,Guava,fruits,700,5500
SUPAUL,Guava,fruits,400,3300
VAISHALI,Guava,fruits,1500,11200
ARARIA,Limes and Lemons,fruits,300,1700
ARWAL,Limes and Lemons,fruits,150,1500
