St_LGD_code,St_Cs2011_code,State Name(In English),Dt_LGD_code,District Name(In English),Bk_LGD_code,Block Name (In English) 
35,35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6498,CAMPBELL BAY
35,35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6499,CAR NICOBAR
35,35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,6500,NANCOWRIE
35,35,ANDAMAN AND NICOBAR ISLANDS,632,NORTH AND MIDDLE ANDAMAN,6492,DIGLIPUR
35,35,ANDAMAN AND NICOBAR ISLANDS,632,NORTH AND MIDDLE ANDAMAN,6495,MAYABUNDER
35,35,ANDAMAN AND NICOBAR ISLANDS,632,NORTH AND MIDDLE ANDAMAN,6497,RANGAT
35,35,ANDAMAN AND NICOBAR ISLANDS,602,SOUTH ANDAMANS,6493,FERRARGUNJ
35,35,ANDAMAN AND NICOBAR ISLANDS,602,SOUTH ANDAMANS,6494,LITTLE ANDAMAN
35,35,ANDAMAN AND NICOBAR ISLANDS,602,SOUTH ANDAMANS,6496,PROTHRAPUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4686,AGALI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4687,AMADAGUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4688,AMARAPURAM
28,28,ANDHRA PRADESH,502,ANANTAPUR,4689,ANANTAPUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4690,ATMAKUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4691,BATHALAPALLE
28,28,ANDHRA PRADESH,502,ANANTAPUR,4692,BELUGUPPA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4693,BOMMANAHAL
28,28,ANDHRA PRADESH,502,ANANTAPUR,4694,BRAHMASAMUDRAM
28,28,ANDHRA PRADESH,502,ANANTAPUR,4695,BUKKAPATNAM
28,28,ANDHRA PRADESH,502,ANANTAPUR,4696,BUKKARAYASAMUDRAM
28,28,ANDHRA PRADESH,502,ANANTAPUR,4697,CHENNEKOTHAPALLE
28,28,ANDHRA PRADESH,502,ANANTAPUR,4698,CHILAMATHUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4700,DHARMAVARAM
28,28,ANDHRA PRADESH,502,ANANTAPUR,4699,D.HIREHAL
28,28,ANDHRA PRADESH,502,ANANTAPUR,4701,GANDLAPENTA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4702,GARLADINNE
28,28,ANDHRA PRADESH,502,ANANTAPUR,4703,GOOTY
28,28,ANDHRA PRADESH,502,ANANTAPUR,4704,GORANTLA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4705,GUDIBANDA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4706,GUMMAGATTA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4707,GUNTAKAL
28,28,ANDHRA PRADESH,502,ANANTAPUR,4708,HINDUPUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4709,KADIRI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4710,KALYANDRUG
28,28,ANDHRA PRADESH,502,ANANTAPUR,4711,KAMBADUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4712,KANAGANAPALLE
28,28,ANDHRA PRADESH,502,ANANTAPUR,4713,KANEKAL
28,28,ANDHRA PRADESH,502,ANANTAPUR,4714,KOTHACHERUVU
28,28,ANDHRA PRADESH,502,ANANTAPUR,4715,KUDAIR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4716,KUNDURPI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4717,LEPAKSHI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4718,MADAKASIRA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4719,MUDIGUBBA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4720,NALLACHERUVU
28,28,ANDHRA PRADESH,502,ANANTAPUR,4721,NALLAMADA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4722,NAMBULAPULIKUNTA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4723,NARPALA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4724,OBULADEVARECHERUVU
28,28,ANDHRA PRADESH,502,ANANTAPUR,4725,PAMIDI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4726,PARIGI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4727,PEDDAPAPPUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4728,PEDDAVADUGUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4729,PENUKONDA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4730,PUTLUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4731,PUTTAPARTHI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4732,RAMAGIRI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4733,RAPTADU
28,28,ANDHRA PRADESH,502,ANANTAPUR,4734,RAYADURG
28,28,ANDHRA PRADESH,502,ANANTAPUR,4735,RODDAM
28,28,ANDHRA PRADESH,502,ANANTAPUR,4736,ROLLA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4737,SETTUR
28,28,ANDHRA PRADESH,502,ANANTAPUR,4738,SINGANAMALA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4739,SOMANDEPALLE
28,28,ANDHRA PRADESH,502,ANANTAPUR,4740,TADIMARRI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4741,TADIPATRI
28,28,ANDHRA PRADESH,502,ANANTAPUR,4742,TALUPULA
28,28,ANDHRA PRADESH,502,ANANTAPUR,4743,TANAKAL
