0,1_x,1_y
ऀ,0900,
ँ,0901,
ं,0902,
ः,0903,
ऄ,0904,a
अ,0905,a
आ,0906,a
इ,0907,e
ई,0908,i
उ,0909,u
ऊ,090A,oo
ऋ,090B,ri
ऌ,090C,l
ऍ,090D,e
ऎ,090E,e
ए,090F,a
ऐ,0910,ae
ऑ,0911,o
ऒ,0912,o
ओ,0913,o
औ,0914,ao
क,0915,k
ख,0916,kha
ग,0917,g
घ,0918,gha
ङ,0919,nga
च,091A,ca
छ,091B,chha
ज,091C,ja
झ,091D,jha
ञ,091E,nya
ट,091F,ta
ठ,0920,thh
ड,0921,da
ढ,0922,dh
ण,0923,n
त,0924,t
थ,0925,tha
द,0926,d
ध,0927,dha
न,0928,na
ऩ,0929,n
प,092A,p
फ,092B,fa
ब,092C,b
भ,092D,bha
म,092E,ma
य,092F,y
र,0930,r
ऱ,0931,r
ल,0932,la
ळ,0933,l
ऴ,0934,l
व,0935,v
श,0936,sha
ष,0937,shha
स,0938,sa
ह,0939,ha
ऺ,093A,
ऻ,093B,a
़,093C,
ऽ,093D,a
ा,093E,a
ि,093F,i
ी,0940,i
ु,0941,u
ू,0942,uu
ृ,0943,r
ॄ,0944,rr
ॅ,0945,e
ॆ,0946,e
े,0947,e
ै,0948,ai
ॉ,0949,o
ॊ,094A,o
ो,094B,o
ौ,094C,au
्,094D,
ॎ,094E,
ॏ,094F,au
ॐ,0950,om
॑,0951,
॒,0952,
॓,0953,
॔,0954,
ॕ,0955,
ॖ,0956,
ॗ,0957,
क़,0958,k
ख़,0959,kh
ग़,095A,g
ज़,095B,j
ड़,095C,d
ढ़,095D,dh
फ़,095E,f
य़,095F,y
ॠ,0960,rr
ॡ,0961,li
ॢ,0962,
ॣ,0963,
।,0964,।
॥,0965,।।
०,0966,zero
१,0967,1
२,0968,2
३,0969,3
४,096A,4
५,096B,5
६,096C,6
७,096D,7
८,096E,8
९,096F,9
॰,0970,
ॱ,0971,
ॲ,0972,am
ॳ,0973,a
ॴ,0974,o
ॵ,0975,au
ॶ,0976,
ॷ,0977,
ॸ,0978,
ॹ,0979,
ॺ,097A,
ॻ,097B,
ॼ,097C,
ॽ,097D,
ॾ,097E,
ॿ,097F,
अं,,am
अः,,a:
क्ष,,ksh
त्र,,tra
ज्ञ,,jna
.,,.
